iter	Passed	Remaining
0	1	1106
1	2	1005
2	2	973
3	3	947
4	4	904
5	5	869
6	5	835
7	6	810
8	7	788
9	7	762
10	8	754
11	9	761
12	9	754
13	10	743
14	11	734
15	11	724
16	12	723
17	13	715
18	13	714
19	14	710
20	15	716
21	16	714
22	16	714
23	17	711
24	18	708
25	18	704
26	19	700
27	20	694
28	20	690
29	21	690
30	22	687
31	22	689
32	23	686
33	24	684
34	24	682
35	25	680
36	26	678
37	26	675
38	27	675
39	28	681
40	29	680
41	29	679
42	30	676
43	31	678
44	31	679
45	32	677
46	33	676
47	34	680
48	35	679
49	35	676
50	36	675
51	36	674
52	37	674
53	38	673
54	39	672
55	40	674
56	40	675
57	41	676
58	42	675
59	42	672
60	43	671
61	44	672
62	45	671
63	45	670
64	46	669
65	47	670
66	47	668
67	48	666
68	49	665
69	49	663
70	50	661
71	51	659
72	51	657
73	52	654
74	53	654
75	53	654
76	54	654
77	55	653
78	55	651
79	56	650
80	57	647
81	57	647
82	58	645
83	59	645
84	60	647
85	61	649
86	62	651
87	62	649
88	63	648
89	64	647
90	64	647
91	65	647
92	66	648
93	67	646
94	67	645
95	68	644
96	69	643
97	69	641
98	70	640
99	71	639
100	71	638
101	72	639
102	73	637
103	73	637
104	74	635
105	75	634
106	75	633
107	76	632
108	77	630
109	77	629
110	78	629
111	79	628
112	79	627
113	80	625
114	81	624
115	81	623
116	82	621
117	82	619
118	83	618
119	84	618
120	85	617
121	85	616
122	86	614
123	86	613
124	87	611
125	88	611
126	88	610
127	89	609
128	90	609
129	91	609
130	91	610
131	92	609
132	93	609
133	94	608
134	94	608
135	95	608
136	96	608
137	97	608
138	98	607
139	98	607
140	99	606
141	100	605
142	100	604
143	101	603
144	102	602
145	102	601
146	103	600
147	104	599
148	104	598
149	105	597
150	105	595
151	106	594
152	107	593
153	107	592
154	108	591
155	109	592
156	110	591
157	110	590
158	111	589
159	112	588
160	112	587
161	113	585
162	113	583
163	114	582
164	114	580
165	115	580
166	116	579
167	116	578
168	117	576
169	117	575
170	118	574
171	119	573
172	119	572
173	120	571
174	121	570
175	121	569
176	122	569
177	123	568
178	123	567
179	124	566
180	124	565
181	125	564
182	126	563
183	126	562
184	127	561
185	128	561
186	128	560
187	130	562
188	130	561
189	131	559
190	131	556
191	131	555
192	132	554
193	133	554
194	133	552
195	134	551
196	135	550
197	135	549
198	136	549
199	137	548
200	137	547
201	138	545
202	138	545
203	139	544
204	140	543
205	140	542
206	141	541
